planet_name,koi_period,koi_duration,koi_depth,koi_prad,koi_srad,koi_model_snr,koi_impact,koi_steff,koi_slogg,koi_teq,koi_insol,koi_disposition
10797460,9.48803557,2.9575,615.8,2.26,0.927,35.8,0.146,5455.0,4.467,793.0,93.59,CONFIRMED
10797460,54.4183827,4.507,874.8,2.83,0.927,25.8,0.586,5455.0,4.467,443.0,9.11,CONFIRMED
10811496,19.89913995,1.7822,10829.0,14.6,0.868,76.3,0.969,5853.0,4.544,638.0,39.3,CANDIDATE
10848459,1.736952453,2.40641,8079.2,33.46,0.791,505.6,1.276,5805.0,4.564,1395.0,891.96,FALSE POSITIVE
10854555,2.525591777,1.6545,603.3,2.75,1.046,40.9,0.701,6031.0,4.438,1406.0,926.16,CONFIRMED
10872983,11.09432054,4.5945,1517.5,3.9,0.972,66.5,0.538,6046.0,4.486,835.0,114.81,CONFIRMED
10872983,4.13443512,3.1402,686.0,2.77,0.972,40.2,0.762,6046.0,4.486,1160.0,427.65,CONFIRMED
10872983,2.56658897,2.429,226.5,1.59,0.972,15.0,0.755,6046.0,4.486,1360.0,807.74,CONFIRMED
6721123,7.36178958,5.022,233.7,39.21,1.958,47.7,1.169,6227.0,3.986,1342.0,767.22,FALSE POSITIVE
10910878,16.06864674,3.5347,4914.3,5.76,0.848,161.9,0.052,5031.0,4.485,600.0,30.75,CONFIRMED
11446443,2.470613377,1.74319,14231.0,13.04,0.964,4304.3,0.818,5820.0,4.457,1339.0,761.46,CONFIRMED
10666592,2.204735417,3.88864,6674.7,16.1,1.952,5945.9,0.224,6440.0,4.019,2048.0,4148.92,CONFIRMED
6922244,3.522498429,3.19843,9145.7,14.59,1.451,1741.5,0.631,6225.0,4.169,1521.0,1264.67,CONFIRMED
10984090,3.709214104,2.6302,131.1,1.16,1.022,50.6,0.051,5833.0,4.407,1206.0,500.46,CONFIRMED
10419211,11.521446064,3.6399,17984.0,150.51,0.848,622.1,2.483,5795.0,4.554,753.0,75.88,FALSE POSITIVE
10464078,19.40393776,12.2155,8918.7,7.18,0.68,214.7,0.804,5043.0,4.591,523.0,17.69,FALSE POSITIVE
10480982,19.221388942,4.79843,74284.0,49.29,0.947,2317.0,1.065,6117.0,4.496,698.0,55.97,FALSE POSITIVE
10485250,16.46983774,9.4378,10479.0,7.94,0.786,303.4,0.292,5152.0,4.517,595.0,29.61,FALSE POSITIVE
10526549,9.27358173,3.2875,1288.3,2.47,0.696,87.2,0.387,4856.0,4.583,649.0,41.85,CONFIRMED
10583066,6.02930329,1.5821,1912.7,2.85,0.672,65.4,0.258,4537.0,4.648,678.0,50.04,CONFIRMED
10583180,2.696370652,3.6129,397.9,1.58,0.819,48.2,0.044,4989.0,4.504,1066.0,305.34,FALSE POSITIVE
10601284,5.349553819,3.0278,831.0,2.55,0.91,60.6,0.092,5185.0,4.44,919.0,168.99,CONFIRMED
10601284,3.94105221,2.5984,363.3,1.7,0.91,28.9,0.226,5185.0,4.44,1018.0,253.15,CONFIRMED
10601284,8.10904807,3.596,217.4,1.3,0.91,14.1,0.025,5185.0,4.44,800.0,97.03,CONFIRMED
2306756,386.6030528,6.8057,24927.0,41.5,1.58,994.0,0.9765,5543.0,4.081,297.0,1.84,FALSE POSITIVE
10662202,21.67699193,3.4555,857.2,2.95,0.828,34.3,0.896,4954.0,4.5,530.0,18.64,CONFIRMED
10682541,4.99677968,2.1717,934.7,2.78,0.847,28.2,0.71,5339.0,4.552,917.0,166.95,CONFIRMED
11460018,4.280963604,2.875,750.8,2.3,0.831,61.8,0.424,5644.0,4.564,1012.0,247.87,CONFIRMED
11463211,1.50635409,1.5155,2211.7,4.53,0.831,181.1,0.86,5714.0,4.563,1452.0,1054.12,FALSE POSITIVE
11465813,670.645531,53.412,18091.0,14.14,0.983,642.7,0.701,5520.0,4.466,196.0,0.35,FALSE POSITIVE
11493732,61.2563628,7.633,5123.3,39.87,1.091,85.3,1.248,6144.0,4.402,505.0,15.43,FALSE POSITIVE
11507101,38.3775486,5.588,724.2,2.82,1.036,34.7,0.468,5481.0,4.369,529.0,18.53,CONFIRMED
10910878,41.19725502,4.6297,2213.9,3.86,0.848,51.2,0.045,5031.0,4.485,439.0,8.76,CONFIRMED
10910878,6.252962249,2.5819,1036.9,2.65,0.848,47.1,0.105,5031.0,4.485,823.0,108.3,CONFIRMED
10987985,16.01308419,3.2554,1121.9,3.1,0.826,33.2,0.799,5015.0,4.499,593.0,29.31,CONFIRMED
11018648,32.62876672,4.7971,1804.8,3.36,0.798,80.0,0.021,5586.0,4.56,506.0,15.55,CONFIRMED
11018648,91.7732862,6.473,652.0,2.12,0.798,19.1,0.606,5586.0,4.56,359.0,3.92,CONFIRMED
11138155,4.959319244,2.22739,9802.0,12.21,1.082,696.5,0.831,5712.0,4.359,1103.0,349.4,CONFIRMED
11152159,2.701287801,3.3827,860.4,6.54,0.91,48.3,1.016,5550.0,4.468,1222.0,527.81,FALSE POSITIVE
11153539,4.49876511,3.7362,460.0,2.1,0.969,29.5,0.312,6075.0,4.486,1133.0,389.62,CONFIRMED
11242721,19.651209505,5.2514,11766.0,12.42,1.063,513.4,0.723,6074.0,4.391,730.0,67.03,FALSE POSITIVE
9579641,5.412203927,2.9472,601.6,2.94,1.087,166.7,0.787,5779.0,4.339,1093.0,337.68,CONFIRMED
11304958,41.43958662,10.5989,2793.1,5.5,1.046,141.1,0.355,5468.0,4.367,516.0,16.72,CONFIRMED
11391957,8.35389523,2.2514,1041.6,2.52,0.787,43.4,0.023,5592.0,4.582,790.0,91.9,CONFIRMED
11403044,4.125543472,3.1744,1487.3,4.43,1.103,128.6,0.597,6174.0,4.417,1243.0,565.35,CONFIRMED
11414511,2.816504904,2.50587,16814.0,12.21,0.955,1406.8,0.105,5532.0,4.452,1219.0,521.13,CONFIRMED
11442465,33.93373447,14.561,8503.7,7.34,0.705,236.1,0.812,5040.0,4.628,430.0,8.11,FALSE POSITIVE
12110942,3.689920099,2.6557,426.7,1.89,0.917,35.6,0.151,5880.0,4.518,1147.0,408.99,CONFIRMED
12366084,4.431238488,3.15,1010.9,3.25,1.015,71.1,0.405,5714.0,4.428,1104.0,351.23,CONFIRMED
12366084,11.37936986,2.6255,1023.5,3.95,1.015,37.9,0.911,5714.0,4.428,806.0,99.68,CONFIRMED
12404086,26.39432897,3.573,1510.9,3.07,0.763,48.2,0.602,5129.0,4.595,489.0,13.49,CONFIRMED
8395660,13.57078281,3.3539,511.7,2.64,1.012,88.4,0.866,5854.0,4.406,785.0,89.61,CONFIRMED
9579641,7.12594387,3.0014,192.4,1.79,1.087,47.1,0.898,5779.0,4.339,997.0,233.31,CONFIRMED
11656840,7.442652004,2.3078,24446.0,15.03,0.956,835.6,0.137,6108.0,4.469,967.0,206.78,FALSE POSITIVE
11754553,16.38489988,3.0249,1127.1,2.0,0.615,28.9,0.001,4126.0,4.661,433.0,8.35,CONFIRMED
11754553,7.8774163,2.0805,1306.1,2.16,0.615,38.7,0.041,4126.0,4.661,553.0,22.18,CONFIRMED
11754553,36.4454001,4.007,1122.3,1.99,0.615,21.7,0.028,4126.0,4.661,332.0,2.88,CONFIRMED
11812062,3.728732147,2.683,5226.5,6.02,0.809,345.2,0.558,5497.0,4.577,1023.0,258.34,CONFIRMED
11818800,40.4195037,3.362,6256.0,7.51,0.781,36.9,0.911,5446.0,4.507,467.0,11.29,CANDIDATE
